{'0': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 5.0}, '1': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 5.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 10.0}, 'weighted avg': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.64}}[[3 2]
 [2 3]]{'0': {'precision': 0.6666666666666666, 'recall': 0.4, 'f1-score': 0.5, 'support': 5.0}, '1': {'precision': 0.5714285714285714, 'recall': 0.8, 'f1-score': 0.6666666666666666, 'support': 5.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.6190476190476191, 'recall': 0.6000000000000001, 'f1-score': 0.5833333333333333, 'support': 10.0}, 'weighted avg': {'precision': 0.619047619047619, 'recall': 0.6, 'f1-score': 0.5833333333333333, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.8400000000000001}}[[2 3]
 [1 4]]{'0': {'precision': 0.6666666666666666, 'recall': 0.4, 'f1-score': 0.5, 'support': 5.0}, '1': {'precision': 0.5714285714285714, 'recall': 0.8, 'f1-score': 0.6666666666666666, 'support': 5.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.6190476190476191, 'recall': 0.6000000000000001, 'f1-score': 0.5833333333333333, 'support': 10.0}, 'weighted avg': {'precision': 0.619047619047619, 'recall': 0.6, 'f1-score': 0.5833333333333333, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.52}}[[2 3]
 [1 4]]{'0': {'precision': 0.6666666666666666, 'recall': 0.8, 'f1-score': 0.7272727272727273, 'support': 5.0}, '1': {'precision': 0.75, 'recall': 0.6, 'f1-score': 0.6666666666666666, 'support': 5.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.7083333333333333, 'recall': 0.7, 'f1-score': 0.696969696969697, 'support': 10.0}, 'weighted avg': {'precision': 0.7083333333333333, 'recall': 0.7, 'f1-score': 0.696969696969697, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.7400000000000001}}[[4 1]
 [2 3]]{'0': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.8888888888888888, 'support': 5.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9166666666666667, 'recall': 0.9, 'f1-score': 0.898989898989899, 'support': 10.0}, 'weighted avg': {'precision': 0.9166666666666667, 'recall': 0.9, 'f1-score': 0.898989898989899, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.9400000000000001}}[[5 0]
 [1 4]]{'0': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.8888888888888888, 'support': 5.0}, '1': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 5.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9166666666666667, 'recall': 0.9, 'f1-score': 0.898989898989899, 'support': 10.0}, 'weighted avg': {'precision': 0.9166666666666667, 'recall': 0.9, 'f1-score': 0.898989898989899, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.98}}[[4 1]
 [0 5]]{'0': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 5.0}, '1': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 5.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 10.0}, 'weighted avg': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.8}}[[3 2]
 [2 3]]{'0': {'precision': 0.75, 'recall': 0.6, 'f1-score': 0.6666666666666666, 'support': 5.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.8, 'f1-score': 0.7272727272727273, 'support': 5.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.7083333333333333, 'recall': 0.7, 'f1-score': 0.696969696969697, 'support': 10.0}, 'weighted avg': {'precision': 0.7083333333333333, 'recall': 0.7, 'f1-score': 0.696969696969697, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.64}}[[3 2]
 [1 4]]{'0': {'precision': 0.7142857142857143, 'recall': 1.0, 'f1-score': 0.8333333333333334, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 0.6, 'f1-score': 0.75, 'support': 5.0}, 'accuracy': 0.8, 'macro avg': {'precision': 0.8571428571428572, 'recall': 0.8, 'f1-score': 0.7916666666666667, 'support': 10.0}, 'weighted avg': {'precision': 0.8571428571428571, 'recall': 0.8, 'f1-score': 0.7916666666666667, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.78}}[[5 0]
 [2 3]]{'0': {'precision': 0.5, 'recall': 0.2, 'f1-score': 0.2857142857142857, 'support': 5.0}, '1': {'precision': 0.5, 'recall': 0.8, 'f1-score': 0.6153846153846154, 'support': 5.0}, 'accuracy': 0.5, 'macro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.45054945054945056, 'support': 10.0}, 'weighted avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.45054945054945056, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.7200000000000001}}[[1 4]
 [1 4]]{'0': {'precision': 0.7142857142857143, 'recall': 1.0, 'f1-score': 0.8333333333333334, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 0.6, 'f1-score': 0.75, 'support': 5.0}, 'accuracy': 0.8, 'macro avg': {'precision': 0.8571428571428572, 'recall': 0.8, 'f1-score': 0.7916666666666667, 'support': 10.0}, 'weighted avg': {'precision': 0.8571428571428571, 'recall': 0.8, 'f1-score': 0.7916666666666667, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.8400000000000001}}[[5 0]
 [2 3]]{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 5.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'mean_auc': {'roc_auc': 1.0}}[[5 0]
 [0 5]]{'0': {'precision': 1.0, 'recall': 0.6, 'f1-score': 0.75, 'support': 5.0}, '1': {'precision': 0.7142857142857143, 'recall': 1.0, 'f1-score': 0.8333333333333334, 'support': 5.0}, 'accuracy': 0.8, 'macro avg': {'precision': 0.8571428571428572, 'recall': 0.8, 'f1-score': 0.7916666666666667, 'support': 10.0}, 'weighted avg': {'precision': 0.8571428571428571, 'recall': 0.8, 'f1-score': 0.7916666666666667, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.64}}[[3 2]
 [0 5]]{'0': {'precision': 0.75, 'recall': 0.6, 'f1-score': 0.6666666666666666, 'support': 5.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.8, 'f1-score': 0.7272727272727273, 'support': 5.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.7083333333333333, 'recall': 0.7, 'f1-score': 0.696969696969697, 'support': 10.0}, 'weighted avg': {'precision': 0.7083333333333333, 'recall': 0.7, 'f1-score': 0.696969696969697, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.66}}[[3 2]
 [1 4]]{'0': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.8888888888888888, 'support': 5.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9166666666666667, 'recall': 0.9, 'f1-score': 0.898989898989899, 'support': 10.0}, 'weighted avg': {'precision': 0.9166666666666667, 'recall': 0.9, 'f1-score': 0.898989898989899, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.9800000000000001}}[[5 0]
 [1 4]]{'0': {'precision': 0.5555555555555556, 'recall': 1.0, 'f1-score': 0.7142857142857143, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 0.2, 'f1-score': 0.3333333333333333, 'support': 5.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.7777777777777778, 'recall': 0.6, 'f1-score': 0.5238095238095238, 'support': 10.0}, 'weighted avg': {'precision': 0.7777777777777778, 'recall': 0.6, 'f1-score': 0.5238095238095238, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.74}}[[5 0]
 [4 1]]{'0': {'precision': 0.75, 'recall': 0.6, 'f1-score': 0.6666666666666666, 'support': 5.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.8, 'f1-score': 0.7272727272727273, 'support': 5.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.7083333333333333, 'recall': 0.7, 'f1-score': 0.696969696969697, 'support': 10.0}, 'weighted avg': {'precision': 0.7083333333333333, 'recall': 0.7, 'f1-score': 0.696969696969697, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.76}}[[3 2]
 [1 4]]{'0': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.8888888888888888, 'support': 5.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9166666666666667, 'recall': 0.9, 'f1-score': 0.898989898989899, 'support': 10.0}, 'weighted avg': {'precision': 0.9166666666666667, 'recall': 0.9, 'f1-score': 0.898989898989899, 'support': 10.0}, 'mean_auc': {'roc_auc': 0.8400000000000001}}[[5 0]
